rental_date,amount,customer_name,email,film_title,release_year,rental_rate,film_length,rating
2005-06-15 23:57:20,7.99,Peter Menard,peter.menard@sakilacustomer.org,Rules Human,2006,4.99,153,R
2005-06-16 18:54:48,1.99,Peter Menard,peter.menard@sakilacustomer.org,Majestic Floats,2006,0.99,130,PG
2005-06-17 00:13:19,7.99,Peter Menard,peter.menard@sakilacustomer.org,Maiden Home,2006,4.99,138,PG
2005-06-19 21:11:30,2.99,Peter Menard,peter.menard@sakilacustomer.org,Hyde Doctor,2006,2.99,100,G
2005-06-20 19:03:22,7.99,Peter Menard,peter.menard@sakilacustomer.org,Massacre Usual,2006,4.99,165,R
2005-06-21 14:05:23,5.99,Peter Menard,peter.menard@sakilacustomer.org,Annie Identity,2006,0.99,86,G
2005-06-18 01:29:51,5.99,Harold Martino,harold.martino@sakilacustomer.org,Wash Heavenly,2006,4.99,161,R
2005-06-20 03:43:18,5.99,Harold Martino,harold.martino@sakilacustomer.org,Lola Agent,2006,4.99,85,PG
2005-06-20 15:29:13,2.99,Harold Martino,harold.martino@sakilacustomer.org,Identity Lover,2006,2.99,119,PG-13
2005-06-16 01:42:24,4.99,Douglas Graf,douglas.graf@sakilacustomer.org,Opposite Necklace,2006,4.99,92,PG
2005-06-16 02:47:07,6.99,Douglas Graf,douglas.graf@sakilacustomer.org,Anything Savannah,2006,2.99,82,R
2005-06-17 02:57:34,0.99,Douglas Graf,douglas.graf@sakilacustomer.org,Superfly Trip,2006,0.99,114,PG
2005-06-17 06:04:25,0.99,Douglas Graf,douglas.graf@sakilacustomer.org,Madness Attacks,2006,0.99,178,PG-13
2005-06-18 19:58:12,6.99,Douglas Graf,douglas.graf@sakilacustomer.org,Alley Evolution,2006,2.99,180,NC-17
2005-06-20 08:35:03,8.99,Douglas Graf,douglas.graf@sakilacustomer.org,Beverly Outlaw,2006,2.99,85,R
2005-06-21 16:14:02,0.99,Douglas Graf,douglas.graf@sakilacustomer.org,Streak Ridgemont,2006,0.99,132,PG-13
2005-06-15 12:26:18,3.99,Henry Billingsley,henry.billingsley@sakilacustomer.org,Rocketeer Mother,2006,0.99,178,PG-13
2005-06-15 21:08:01,4.99,Henry Billingsley,henry.billingsley@sakilacustomer.org,Hanover Galaxy,2006,4.99,47,NC-17
2005-06-16 15:32:12,0.99,Henry Billingsley,henry.billingsley@sakilacustomer.org,Slipper Fidelity,2006,0.99,156,PG-13
2005-06-15 02:57:51,0.99,Carl Artis,carl.artis@sakilacustomer.org,Academy Dinosaur,2006,0.99,86,PG
2005-06-15 20:05:49,4.99,Carl Artis,carl.artis@sakilacustomer.org,Closer Bang,2006,4.99,58,R
2005-06-16 01:58:35,0.99,Carl Artis,carl.artis@sakilacustomer.org,Hours Rage,2006,0.99,122,NC-17
2005-06-19 17:45:15,4.99,Carl Artis,carl.artis@sakilacustomer.org,Rules Human,2006,4.99,153,R
2005-06-17 11:07:06,5.99,Arthur Simpkins,arthur.simpkins@sakilacustomer.org,Jason Trap,2006,2.99,130,NC-17
2005-06-21 13:34:19,2.99,Arthur Simpkins,arthur.simpkins@sakilacustomer.org,Tramp Others,2006,0.99,171,PG
2005-06-21 17:22:58,2.99,Arthur Simpkins,arthur.simpkins@sakilacustomer.org,Strictly Scarface,2006,2.99,144,PG-13
2005-06-16 14:11:52,8.99,Ryan Salisbury,ryan.salisbury@sakilacustomer.org,Beauty Grease,2006,4.99,175,G
2005-06-18 06:31:15,0.99,Ryan Salisbury,ryan.salisbury@sakilacustomer.org,Patient Sister,2006,0.99,99,NC-17
2005-06-20 11:48:00,4.99,Ryan Salisbury,ryan.salisbury@sakilacustomer.org,Teen Apollo,2006,4.99,74,G
2005-06-20 16:04:42,8.99,Ryan Salisbury,ryan.salisbury@sakilacustomer.org,Virtual Spoilers,2006,4.99,144,NC-17
2005-06-21 09:04:50,7.99,Ryan Salisbury,ryan.salisbury@sakilacustomer.org,Devil Desire,2006,4.99,87,R
2005-06-16 09:42:48,2.99,Roger Quintanilla,roger.quintanilla@sakilacustomer.org,Dirty Ace,2006,2.99,147,NC-17
2005-06-17 14:19:00,8.99,Roger Quintanilla,roger.quintanilla@sakilacustomer.org,Command Darling,2006,4.99,120,PG-13
2005-06-18 23:01:36,0.99,Roger Quintanilla,roger.quintanilla@sakilacustomer.org,Primary Glass,2006,0.99,53,G
2005-06-15 01:42:46,2.99,Joe Gilliland,joe.gilliland@sakilacustomer.org,Spy Mile,2006,2.99,112,PG-13
2005-06-16 00:18:40,0.99,Joe Gilliland,joe.gilliland@sakilacustomer.org,Christmas Moonshine,2006,0.99,150,NC-17
2005-06-20 08:55:50,6.99,Joe Gilliland,joe.gilliland@sakilacustomer.org,Freddy Storm,2006,4.99,65,NC-17
2005-06-20 13:59:21,8.99,Joe Gilliland,joe.gilliland@sakilacustomer.org,Pinocchio Simon,2006,4.99,103,PG
2005-06-17 11:56:09,3.99,Juan Fraley,juan.fraley@sakilacustomer.org,Club Graffiti,2006,0.99,65,PG-13
2005-06-19 08:03:12,0.99,Juan Fraley,juan.fraley@sakilacustomer.org,Harper Dying,2006,0.99,52,G
2005-06-20 15:13:40,2.99,Juan Fraley,juan.fraley@sakilacustomer.org,Insider Arizona,2006,2.99,78,NC-17
2005-06-21 00:39:39,0.99,Juan Fraley,juan.fraley@sakilacustomer.org,Japanese Run,2006,0.99,135,G
2005-06-16 20:04:50,5.99,Jack Foust,jack.foust@sakilacustomer.org,Splash Gump,2006,0.99,175,PG
2005-06-17 02:08:00,0.99,Jack Foust,jack.foust@sakilacustomer.org,Crooked Frogmen,2006,0.99,143,PG-13
2005-06-19 17:10:24,2.99,Jack Foust,jack.foust@sakilacustomer.org,Cider Desire,2006,2.99,101,PG
2005-06-15 21:58:00,0.99,Albert Crouse,albert.crouse@sakilacustomer.org,Sleuth Orient,2006,0.99,87,NC-17
2005-06-16 09:20:33,4.99,Albert Crouse,albert.crouse@sakilacustomer.org,Boogie Amelie,2006,4.99,121,R
2005-06-16 11:08:28,4.99,Albert Crouse,albert.crouse@sakilacustomer.org,Harry Idaho,2006,4.99,121,PG-13
2005-06-16 19:11:45,4.99,Albert Crouse,albert.crouse@sakilacustomer.org,Apache Divine,2006,4.99,92,NC-17
2005-06-21 09:37:53,4.99,Albert Crouse,albert.crouse@sakilacustomer.org,Opus Ice,2006,4.99,102,R
2005-06-15 13:30:30,2.99,Jonathan Scarborough,jonathan.scarborough@sakilacustomer.org,Pond Seattle,2006,2.99,185,PG-13
2005-06-17 06:48:31,7.99,Jonathan Scarborough,jonathan.scarborough@sakilacustomer.org,Sagebrush Clueless,2006,2.99,106,G
2005-06-21 02:39:31,6.99,Jonathan Scarborough,jonathan.scarborough@sakilacustomer.org,Searchers Wait,2006,2.99,182,NC-17
2005-06-15 21:48:18,0.99,Justin Ngo,justin.ngo@sakilacustomer.org,Craft Outfield,2006,0.99,64,NC-17
2005-06-18 06:31:29,4.99,Justin Ngo,justin.ngo@sakilacustomer.org,National Story,2006,2.99,92,NC-17
